Epochs	Learning rate	Hidden nodes	Training loss	Validation loss
200	0.1	1	0.705970880874	1.17040318229
200	0.1	2	0.242203070165	0.43223711577
200	0.1	3	0.200160257784	0.337186584106
200	0.1	4	0.11790403801	0.179184553791
200	0.1	5	0.0969442118229	0.290693879734
200	0.1	6	0.101476231988	0.188112228809
200	0.1	7	0.129497800035	0.191971633052
200	0.1	8	0.101397356073	0.190374642242
200	0.1	9	0.109491398304	0.203210145693
200	0.1	10	0.115953590282	0.210362116905
200	0.1	11	0.100757054098	0.218353034714
200	0.1	12	0.085429120091	0.26267682976
200	0.1	13	0.107859245647	0.18771309296
200	0.1	14	0.0968323335954	0.16914046519
200	0.1	15	0.0932345246596	0.18369335791
200	0.1	16	0.0982788094049	0.168978288823
200	0.1	17	0.0853041623175	0.166089279281
200	0.1	18	0.116054622111	0.160623687023
200	0.1	19	0.0880030253064	0.198029136929
200	0.1	20	0.0930502706916	0.17834487859
200	0.1	21	0.105466469234	0.167507341173
200	0.1	22	0.0953753903401	0.141167831342
200	0.1	23	0.0826385674961	0.174429566339
200	0.1	24	0.0808918449577	0.168954555218
200	0.1	25	0.111763885132	0.207330541533
200	0.1	26	0.0899019658255	0.163697436139
200	0.1	27	0.0912793005833	0.199021976684
200	0.1	28	0.101333661061	0.197165451886
200	0.1	29	0.137372856058	0.243278354439
200	0.1	30	0.103946271771	0.285037647061
